                a        b        c        d        e        g        h        i        k        l        m        n        o        p        q        r        s        t        u        v        x        y        à        á        â        ã        è        é        ê        ì        í        ò        ó        ô        õ        ù        ú        ý        ă        đ        ĩ        ũ        ơ        ư        ạ        ả        ấ        ầ        ẩ        ẫ        ậ        ắ        ằ        ẳ        ẵ        ặ        ẹ        ẻ        ẽ        ế        ề        ể        ễ        ệ        ỉ        ị        ọ        ỏ        ố        ồ        ổ        ỗ        ộ        ớ        ờ        ở        ỡ        ợ        ụ        ủ        ứ        ừ        ử        ữ        ự        ỳ        ỵ        ỷ        ỹ
        a       31       98      280      513      244      202      164    2.600      129    1.304    1.808   12.272    2.402      334        7    1.302      539      312    3.221      336      128    2.584        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        b    3.136      675        7        1    3.070        0        3    3.457        5      148        0       12      550        0        0      445       40        2    1.173        0        0       25      661    1.555      337      115       37       35      505      446      171       13       74       32        0       96       22        0       59        0        1        0        6      266      698    1.433      601      125       25       10      113    1.199      645        0        2        2        6        4        4       33       34        1        0       83      124    2.638       61      513      456       47      159       16    1.306       22      120      249        1        9       13        1      282        9        0       42       12        0        0        0        0
        c    1.278        3       20       13      168        1   33.569      187      644       19        3       16      949        2        7       57        6       18    2.595        8        1       23      402    4.984      309       47        1        1        0        0        0    1.600    5.720    2.199        6    1.205       33        0      162        6        0    1.603      738      399       90    2.576      719    1.141       38        1      309      101        5        1        0       34        0        0        0        0        0        0        0        0        0        0        5       34      555        1      113        7      511       29       44       10        6        9      204    9.050      504        1      411        0      333        0        0        0        0
        d      671       45        0       24    1.584       14       31    1.474        8      236       12       28    2.385       14        0      192      207      242      520       37        0       55      563       80    1.228       49       10        1        0        6       25      118        0       12       29      736        2        0        5        0       72       39        1      758       85        4       98      121        0      236      129       28       13        4        0       15       34        1        0        0        0        0      137        2        0      366      118        3      137       22        0        5       38        0       18       10        1        0      467        0      171       36        2      104      617        0        0        0        0
        e       67      494      414      458      134      120      151    1.263       29    1.771    1.058    3.149    1.386      169        2   10.344      783      349      211      337       57      180        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0
        g    1.668        6       11       27      525      156    3.939    8.961       18       69        7      113    2.134       16        4      288       41       63      778       12        0        2    2.887      158      480       52        0        3        0      893        1        7       96      156       13        1        1        0      188        9        0       82       13    4.294      277       17       40      511        7       17       43      200        0        0        0      361        0        0        0        0        0        0        0        0        1        0      505       10       85      317        6        9       15       13      196        1       49       36       72       46        0       84      341       38       47        0        0        0        0
        h    5.118       11        5        8    3.502       11        0   20.365       15      399      224      227   10.282      337        2      639       62      291    4.899       71        0      256    4.855    7.668    2.061      159      182      522      701    1.812    4.223      571    1.260    7.123       27      391    1.543        0      324        5      937       13    1.058    7.106    1.229    3.537    3.488    1.037      362       59    3.204    1.638      412      846        2      203      160        5       26    4.144      209    1.996        1      409    2.281    1.531    2.959    1.062    2.305      542      548      219    1.220      247    1.513      328       12      470      807    3.001    2.389      115      115    4.256      543        0        0        0        0
        i    3.426      430    1.114      304      648      349       21      205      118      520      608    7.198      277      210        2      163      657    5.623      115       49       28        2      125    1.046       13       23        7        0    4.392        0        0        1       35        4        0        0      250        0       10        6        0        1       11       11        0      971      108        0        0        2      109        1        8        0        0        0        0        0        0    9.121    2.834    1.988      589    8.645        0        0       42       30      257        0        0        0        0      791    1.239        1        0        0      111        0        0        0        0      909        0        0        0        0        0
        k      365        0        0        2      553        6   15.081    1.756        0      178      134       13      212       13        0      171       40       36       78       16        0       47        0        1        0        0       31      256      162       23      223        0        0        1        0        0        0      530        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4      284       16    1.094       11      472        0        3        2       77        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      480       15      156       52
        l    2.549      107       18      358    6.306      106      118    3.646      109      630      160        8    1.374      302        0       28      471      305    1.374        8        2       75    7.981      138      374    1.246        4       61      858       26       57      316       16      105       22       84    1.223      476       52        0      465       22        9    1.085    2.518        2      335      590        8       95      915      146        1        0        0      118        1       19      447        2       12        7      131    1.288        0      266       25       12       85       25        0       69      125      565      996        5        3      333      385        5        4       97       91       26    1.391        0        1        0        0
